Code,Name,Continent,Region,SurfaceArea,IndepYear,GovernmentForm
AFG,Afghanistan,Asia,Southern and Central Asia,652090,1919,Islamic Emirate
NLD,Netherlands,Europe,Western Europe,41526,1581,Constitutional Monarchy
ANT,Netherlands Antilles,North America,Caribbean,800,NULL,Nonmetropolitan Territory of The Netherlands
ALB,Albania,Europe,Southern Europe,28748,1912,Republic
DZA,Algeria,Africa,Northern Africa,2381741,1962,Republic
ASM,American Samoa,Oceania,Polynesia,199,NULL,US Territory
AND,Andorra,Europe,Southern Europe,468,1278,Parliamentary Coprincipality
AGO,Angola,Africa,Central Africa,1246700,1975,Republic
AIA,Anguilla,North America,Caribbean,96,NULL,Dependent Territory of the UK
ATG,Antigua and Barbuda,North America,Caribbean,442,1981,Constitutional Monarchy
ARE,United Arab Emirates,Asia,Middle East,83600,1971,Emirate Federation
ARG,Argentina,South America,South America,2780400,1816,Federal Republic
ARM,Armenia,Asia,Middle East,29800,1991,Republic
ABW,Aruba,North America,Caribbean,193,NULL,Nonmetropolitan Territory of The Netherlands
AUS,Australia,Oceania,Australia and New Zealand,7741220,1901,"Constitutional Monarchy, Federation"
AZE,Azerbaijan,Asia,Middle East,86600,1991,Federal Republic
BHS,Bahamas,North America,Caribbean,13878,1973,Constitutional Monarchy
BHR,Bahrain,Asia,Middle East,694,1971,Monarchy (Emirate)
BGD,Bangladesh,Asia,Southern and Central Asia,143998,1971,Republic
BRB,Barbados,North America,Caribbean,430,1966,Constitutional Monarchy
BEL,Belgium,Europe,Western Europe,30518,1830,"Constitutional Monarchy, Federation"
BLZ,Belize,North America,Central America,22696,1981,Constitutional Monarchy
BEN,Benin,Africa,Western Africa,112622,1960,Republic
BMU,Bermuda,North America,North America,53,NULL,Dependent Territory of the UK
BTN,Bhutan,Asia,Southern and Central Asia,47000,1910,Monarchy
BOL,Bolivia,South America,South America,1098581,1825,Republic
BIH,Bosnia and Herzegovina,Europe,Southern Europe,51197,1992,Federal Republic
BWA,Botswana,Africa,Southern Africa,581730,1966,Republic
BRA,Brazil,South America,South America,8547403,1822,Federal Republic
GBR,United Kingdom,Europe,British Islands,242900,1066,Constitutional Monarchy
VGB,"Virgin Islands, British",North America,Caribbean,151,NULL,Dependent Territory of the UK
BRN,Brunei,Asia,Southeast Asia,5765,1984,Monarchy (Sultanate)
BGR,Bulgaria,Europe,Eastern Europe,110994,1908,Republic
BFA,Burkina Faso,Africa,Western Africa,274000,1960,Republic
BDI,Burundi,Africa,Eastern Africa,27834,1962,Republic
CYM,Cayman Islands,North America,Caribbean,264,NULL,Dependent Territory of the UK
CHL,Chile,South America,South America,756626,1810,Republic
COK,Cook Islands,Oceania,Polynesia,236,NULL,Nonmetropolitan Territory of New Zealand
CRI,Costa Rica,North America,Central America,51100,1821,Republic
DJI,Djibouti,Africa,Eastern Africa,23200,1977,Republic
DMA,Dominica,North America,Caribbean,751,1978,Republic
